label,text
Input,"""The vote against Recall was a vote against democracy"" - brilliant by @CarolineLucas -"
Input,Looking forward to another full constituency day including visiting small enterprises & community groups across the Island. Erdrych ymlaen
Input,So great to see @KateOsamor is representing  her constituents well this eve:  #NoBombingSyria #proud
Input,@KateOsamor thanks for the email and thanks for listening to your constituents! Proud to have voted for you!
Input,"#LizForLeader - the spooks' choice.  (Shhh comrade, it's supposed to be our secret 😉)  Quoted: Mark Serwotka is backed by voters. Liz Kendall is backed by Tories and #MI5 scum who threatened to murder Tony Benn."
Input,"Clearly out of touch...and @TelePolitics agrees #WASPI  Quoted: Women hit by pension trap can go to Job Centre and claim benefits, minister says"
Input,Lancaster City Council hit with the joint largest cut (6.4%) by out of touch Government.
Input,Just voted against #TUBill & its attack on working people and workers rights. Tories demonstrated yet again how out of touch they are.
Input,Osborne delivers the wrong package at the wrong time. Looks increasingly like an out of touch Chancellor who is running out of rope.
Input,"Out of touch Labour MPs want a 17% pay rise to £77,322. Labour policy is a public sector pay freeze. @labourpress"
Input,Characteristic @stagecoachgroup charm. Hardly out of touch to campaign on bus service & better value for taxpayer:
Input,SE Trains Management totally out of touch with reality but glad Rail Minister insisted on hearing the failings at first hand. Now must act!
Input,The fact that the government is celebrating the existence of #zerohours contracts shows how completely out of touch it is. #IDSJobs
Input,Turns out The Sun don’t like it when you point out their two faced electioneering. Who’d have thought they were such delicate mites
Input,"'Real scandal is COLLUSION of institutions, journals & doctors with industry for financial gain'  @nedwards_1 #NHS"
Input,We wouldn’t put millionaires before millions of workers. That's something the Tories would do:
Input,"Cameron: ""we are the party of One Nation Britain*""  *does not apply to the disabled"
Input,George Osborne: 'We Are The Party Of Work'
Input,"Record number of jobs created & youth unemployment down 150,000 - we are the party of the workers #VoteConservative"
Input,@AlistairBurtMP At w/e lots of people unsure how to vote; I said we are a decisive nation and we need a majority gov't - they liked that
Input,"·         We are the party of working people, offering you security at every stage of your life #VoteConservative"
Input,"Like the last four, this Tory Budget probably isn’t for you. @BuzzfeedUK-style:"
Input,Great question by @HelenJonesMP exposing David Cameron's broken promise to exempt disabled people from the #bedroomtax #PMQs
Input,More cuts promised but we can be sure they won't hit George's rich mates. #Budget2014
Input,People better off:  - Millionaires People not better off: - Hardworking people - Millions of women - Young people without jobs #Budget2014
Input,@GarySpedding Surprisingly the democracy hated by some on the march rightly provides accountability of the police..#irony
Input,A bad day for government transparency. Hurrah for @TheIFS. What about the Office for Budget Responsbility?
Input,From @newmodeladviser: MP @aluncairns calls for #FCA transparency over £118m Connaught collapse:
Input,"National Audit Office on Universal Credit: ""weak programme management, over-optimistic timetables and a lack of openness about progress"""
Input,Thank u to the residents of Hastings & Rye! I am so delighted & excited 2 be representing my community & look forward 2 getting back 2 work!
Input,Delighted @AlunCairns @priti4witham @halfon4harlowMP rewarded w/ govt positions. Their tweets reveal how brilliantly they serve constituents
Input,@ClewlowAJ Congratulations Ade. Well done on putting yourself forward for the democratic process to serve the public! See you out there! AB
Input,"That's what elections are for..  Quoted: Wish all you Tories would Just quit + go, don't care if it is graceful or not!"
Input,Come to #Southmead plan at @GreenwayCentre - community empowered! @southmeadchurch @SouthmeadDT @SouthmediaBS10
Input,I am supporting the #XXVOTE - a campaign to get young women to register to vote  @YouthMediaA @crowdfunderuk #vote2015
Input,"@andybcfc2013 ok, so it got a bit Godfather there. But no one knocks my constituents. No one! Alright?! *squares up*"
Input,I voted for @breadyouth as #communitychampions @MagnetTradeUK - vote here:  -we need your vote! @LawWestonAFC pls RT!
Input,"@ZoomZoooom I simply want to deliver you the right to decide, Labour however don't trust you to decide. #letbritaindecide"
Input,@CLeslieMP Support our thunderclap to get young people registered to vote     #Votepower
Input,Should 16yr olds have the vote? Emma & Jasmine ask @CLeslieMP for @BBCSchoolReport  Full interview online later.
Input,I well remember the debate on this in the Lords all Parties supported giving  WA the right to decide on 16/17 vote
Input,"@RichardDawkins why are you so obsessed with this?Silent majority of religious ppl just get on,try to be kind+ care for others, incl. you..."
Input,@tshep42 @johnprescott - let's get that vital silent majority voting for Andy! @lucianaberger @Keir_Starmer @MichaelDugher @Bill_Esterson
Input,@mohammedaliamla a pleasure. Deep down people know we are better united than divided. The silent majority are too often ignored!
Input,".@MarieRimmerMP : ""We deny them (PEOPLE) the right to decide - does NOT bode well"". #DevoManc #VoteOnDevoManc"
Input,@stuartbruce Nope. Done my bit in securing my constituents the right to decide (despite Lab opposition). It's now up to the public to decide
Input,As Scotland wakes up this morning this is the Royal Mile in #Edinburgh. Is the silent majority speaking? #indyref
Input,Tories use the democratic process to unashamedly implement their ideology.There's nothing wrong with that: Labour simply has to do the same!
Input,@KevinDoran EU Farage is going from false claim to false claim about Europe then chucks in a bit of rhetoric to create a smoke screen.
Input,Proud & honoured to have been chosen as Bootle's Labour candidate to fight for my home town in 2015 General Election!
Input,@derwenttwo no love for UKIP or their bar manager but even less for those who think they have the right to decide by force who speaks
Input,.@Kevin_Maguire I'm in no way guilty of 'blind loyalty' - but I can recognise a carefully constructed media campaign when I see it!
Input,@frozenwarning I attacked Osborne for delegating cuts to Northern councils whilst pretending to empower them. Will publish my speech tomo.
Input,"People want the right to determine their services, not just challenge them - my speech to @LDTonline  #peoplepower"
Input,What will Labour MPs do? Vote for more powers for Scotland and against English votes for English laws? That will take some explaining. 2/2
Input,Thank you @DFITZ86 @D_J_Fuller and @axhoughton for joining me this morning to talk to local residents about our #LongTermPlan
Input,"@Royston_Smith Belayed Congratulations to you Royston. A man of the people, for the people. A true representation of Southampton at last."
Input,Obama loves big foreign entities controlling countries & overriding sovereign decisions. That's why he'll fly to UK to demand we stay in EU.
Input,Jeremy Corbyn’s brother backs Brexit: ‘the EU is the tool of big corporations’
Input,@SaqibKhan  under new rules MP votes no longer weighted. It counts exactly the same as Labour Party member/affiliated/registered supporter
Input,"If anMP is arrested now for alleged child abuse, Parliament and the public will not be told until charging. I think that this is wrong."
Input,"Boris Johnson's appalling waffle and inability to be honest about what he said, even minutes before, shows a man wholly unfit to ever be PM."
Input,Listening to local businesses on what would help them expand with @DLidington today. Many thanks to host @RBSGroup
Input,"I will cut tuition fees. If I don’t do it, I won’t stand for PM in five years. There should be consequences when people’s trust is let down."
Input,"@Mark_Spencer its all legally unenforceable, not a single power is returned and a new treaty handing more power over is being worked up"
Input,Devolving power must mean more than Westminster devolving blame for the cuts being passed down to local gov't @SteveReedMP #coopdifference
Input,A betrayal of trust by the government when it comes to pub tenants
Input,Petition: Extend EU referendum voting rights to all UK citizens living abroad.
Input,Don’t join the #MissingMillions! Get your voice heard #RegisterToVote online now -
Input,@HullsEnterprise Why not invite a range of voices to the summit? Because it's electioneering not economics. They care about votes not jobs.
Input,I want to thank all Zimbabweans for participating in the election against all odds. Unfortunately the election was stolen. #zimelection
Input,@ayestotheright Go into a general election promising to repeal a law giving the people a say? Political suicide.
Input,"Lib Dems have killed the EU Referendum Bill. Like Labour, not interested in giving the people a say!  #shameless"
Input,@Royston_Smith - 'we need to renegotiate our relationship with the EU and give the people a say' #itchendebate
